"","CO","NO","NO2","NOX","O3","PM10","PM2.5","PRS","RH","SR","TOUT"
"2010-01",0.624,10.3166666666667,20.8,31.12,33.1333333333333,64.2666666666667,22.037037037037,713.690322580645,54.8387096774194,0.374354838709677,17.2545161290323
"2010-02",0.700357142857143,10.1714285714286,20.85,31.0214285714286,38.2142857142857,62.7857142857143,26.6,711.692857142857,51.75,0.450142857142857,17.7642857142857
"2010-03",0.596,5.32,14.7966666666667,20.1133333333333,51.5666666666667,66.7666666666667,18.64,710.583333333333,36.0333333333333,0.609066666666667,24.6993333333333
"2010-04",0.787,4.99,13.1733333333333,18.1533333333333,46.6,65.9310344827586,27.0869565217391,709.46,55.4333333333333,0.544733333333333,26.71
"2010-05",0.933225806451613,5.23225806451613,11.2903225806452,16.5225806451613,49.8709677419355,77.9354838709677,32.6818181818182,709.58064516129,54.9032258064516,0.540354838709677,30.2967741935484
"2010-06",0.916333333333333,4.31333333333333,10.19,14.5366666666667,44.4666666666667,68.7,29.7894736842105,710.016651533333,51.1666666666667,0.652533333333333,33.026
"2010-07",0.933870967741935,5.02258064516129,9.01612903225806,14.0677419354839,29.1290322580645,50.9642857142857,20.7692307692308,711.493533222581,67.4516129032258,0.515548387096774,29.6661290322581
"2010-08",1.03483870967742,4,9.33548387096774,13.3806451612903,43.6451612903226,81.3225806451613,25.2592592592593,711.274178390323,55.0967741935484,0.629741935483871,32.1748387096774
"2010-09",1.141,5.95333333333333,11.9033333333333,17.88,38,51.8275862068966,22.6666666666667,710.713777972414,64.2333333333333,0.490566666666667,29.052
"2010-10",1.24655172413793,5.23793103448276,18.3655172413793,23.6172413793103,64.6551724137931,79.3793103448276,25.88,713.596536524138,49.1724137931034,0.532655172413793,27.4303448275862
"2010-11",1.60607142857143,16.8684210526316,27.9368421052632,44.8052631578947,50.75,96.962962962963,25.4444444444444,712.540725559259,37.1538461538462,0.474703703703704,24.5822222222222
"2010-12",1.65193548387097,14.4032258064516,28.6903225806452,43.0935483870968,46.6451612903226,88.8333333333333,23.7333333333333,712.870952558064,33.9354838709677,0.442161290322581,22.4316129032258
"2011-01",1.83677419354839,13.4709677419355,25.6096774193548,39.0806451612903,39.2258064516129,83.9677419354839,24.2413793103448,712.683870967742,50.0322580645161,0.44741935483871,19.6545161290323
"2011-02",1.84392857142857,7.05,20.8857142857143,27.9392857142857,52.75,99.8214285714286,23.3333333333333,712.435714285714,35.1428571428571,0.594285714285714,21.8892857142857
"2011-03",1.94806451612903,4.73548387096774,16.3741935483871,21.1096774193548,55.5806451612903,92.4516129032258,26.6206896551724,710.870967741935,42.5666666666667,0.550967741935484,27.7303225806452
"2011-04",2.20066666666667,3.98333333333333,13.5966666666667,17.5833333333333,64.6666666666667,115.551724137931,31.2068965517241,707.986666666667,29.9,0.643333333333333,33.4543333333333
"2011-05",2.39161290322581,4.00322580645161,10.6225806451613,14.658064516129,62.8064516129032,83.3333333333333,29.962962962963,708.596774193548,46.2903225806452,0.59,32.2196774193548
"2011-06",2.48533333333333,4.83,4.5,9.34333333333333,45.1333333333333,40.8,10.2222222222222,709.593333333333,40.5666666666667,0.752,34.093
"2011-07",2.51258064516129,4.87741935483871,3.72258064516129,8.61935483870968,40.1612903225806,58.3548387096774,18.88,710.790322580645,53.5483870967742,0.642903225806452,31.9451612903226
"2011-08",2.34967741935484,4.45483870967742,3.29032258064516,7.75161290322581,45.4193548387097,50.5806451612903,17.5161290322581,709.916129032258,42.4516129032258,0.683225806451613,34.8138709677419
"2011-09",2.00033333333333,4.38333333333333,3.2,7.58666666666667,58.4333333333333,50.4666666666667,18.1724137931034,711.25,37.2666666666667,0.608333333333333,33.253
"2011-10",1.22709677419355,5.69032258064516,2.5741935483871,8.25161290322581,59.5483870967742,65,19.3870967741935,712.470967741936,50.0967741935484,0.539032258064516,27.8987096774194
